"Story","Title","Result","Date","Stability","Duration (s)"
"CT02 - Alterar senha do usuario","Alterar senha","SUCCESS","2018-02-27T10:04:36.576-03:00","0.0","17.85"
"CT01 - Cadastrar novo usuario","Cadastrar usuario","SUCCESS","2018-02-27T10:04:10.205-03:00","0.0","24.59"
"CT03 - Colocar um Produto no Carrinho buscando via barra de busca","Colocar Produto no carrinho via barra de busca","SUCCESS","2018-02-27T10:04:55.254-03:00","0.0","16.4"
"CT10 - Entrar na secao Fale Conosco e enviar mensagem","Enviar mensagem","SUCCESS","2018-02-27T10:09:25.216-03:00","0.0","12.11"
"CT04 - Clicar em Todos os produtos, filtrar pela cor e adiciona-lo","Filtrar cor do produto","SUCCESS","2018-02-27T10:05:12.296-03:00","0.0","15.01"
"CT06 - Clicar em Todos os produtos, filtrar pelo tamanho e composicao, e retirar o filtro Tamanho","Filtrar e retirar filtro","SUCCESS","2018-02-27T10:05:44.009-03:00","0.0","10.89"
"CT07 - Clicar em Todos os produtos, filtrar pelo preco, e retirar o todos os filtros","Filtrar e retirar todos filtros","SUCCESS","2018-02-27T10:08:35.787-03:00","0.0","17.21"
"CT05 - Clicar em Todos os produtos, filtrar pelo tamanho e estilo, e adiciona-lo","Filtrar tamanho e estilo do produto","SUCCESS","2018-02-27T10:05:27.870-03:00","0.0","15.22"
"CT09 - Navegar via menu, aumentar a quantidade do item e finalizar compra","Navegar no menu","SUCCESS","2018-02-27T10:09:08.454-03:00","0.0","16.31"
"CT08 - Clicar em Todos os produtos, ordenar do mais barato ao mais caro, adicionar o mais barato","Ordenar por preco","SUCCESS","2018-02-27T10:08:55.106-03:00","0.0","12.97"
